temp;pwm;time(s)
25.00;70;0.00
25.00;70;0.00
25.00;70;0.01
25.00;70;0.01
25.00;70;0.01
25.00;70;0.01
25.00;70;0.03
25.00;70;0.05
25.00;70;0.06
25.00;70;0.08
25.00;70;0.09
25.00;70;0.11
25.00;70;0.12
25.00;70;0.14
25.00;70;0.15
25.00;70;0.17
25.00;70;0.19
25.00;70;0.20
25.00;70;0.22
25.00;70;0.23
25.00;70;0.25
25.00;70;0.26
25.00;70;0.28
25.00;70;0.29
25.00;70;0.31
25.00;70;0.33
25.00;70;0.34
25.00;70;0.36
25.00;70;0.37
25.00;70;0.39
25.00;70;0.40
25.00;70;0.42
25.00;70;0.44
25.00;70;0.45
25.00;70;0.47
25.00;70;0.48
25.00;70;0.50
25.00;70;0.51
25.00;70;0.53
25.00;70;0.54
25.00;70;0.56
25.00;70;0.58
25.00;70;0.59
25.00;70;0.61
25.00;70;0.62
25.00;70;0.64
25.00;70;0.65
25.00;70;0.67
25.00;70;0.68
25.00;70;0.70
25.00;70;0.72
25.00;70;0.73
25.00;70;0.75
25.00;70;0.76
25.00;70;0.78
25.00;70;0.79
25.00;70;0.81
25.00;70;0.83
25.00;70;0.84
25.00;70;0.86
25.00;70;0.87
25.00;70;0.89
25.00;70;0.90
25.00;70;0.92
25.00;70;0.93
25.00;70;0.95
25.00;70;0.96
25.00;70;0.98
25.00;70;1.00
25.00;70;1.01
25.00;70;1.03
25.00;70;1.04
25.00;70;1.06
25.00;70;1.07
25.00;70;1.09
25.00;70;1.11
25.00;70;1.12
25.00;70;1.14
25.00;70;1.15
25.00;70;1.17
25.00;70;1.18
25.00;70;1.20
25.00;70;1.21
25.00;70;1.23
25.00;70;1.25
25.00;70;1.26
25.00;70;1.28
25.00;70;1.29
25.00;70;1.31
25.00;70;1.32
25.00;70;1.34
25.00;70;1.36
25.00;70;1.37
25.00;70;1.39
25.00;70;1.40
25.00;70;1.42
25.00;70;1.43
25.00;70;1.45
25.00;70;1.46
25.00;70;1.48
25.00;70;1.49
25.00;70;1.51
25.00;70;1.53
25.00;70;1.54
25.00;70;1.56
25.00;70;1.57
25.00;70;1.59
25.00;70;1.61
25.00;70;1.62
25.00;70;1.64
25.00;70;1.65
25.00;70;1.67
25.00;70;1.68
25.00;70;1.70
25.00;70;1.71
25.00;70;1.73
25.00;70;1.74
25.00;70;1.76
25.00;70;1.78
25.00;70;1.79
25.00;70;1.81
25.00;70;1.82
25.00;70;1.84
25.00;70;1.86
25.00;70;1.87
25.00;70;1.89
25.00;70;1.90
25.00;70;1.92
25.00;70;1.93
25.00;70;1.95
25.00;70;1.96
25.00;70;1.98
25.00;70;1.99
27.40;70;2.01
27.40;70;2.02
27.40;70;2.04
27.40;70;2.06
27.40;70;2.07
27.40;70;2.09
27.40;70;2.10
27.40;70;2.12
27.40;70;2.13
27.40;70;2.15
27.40;70;2.17
27.40;70;2.18
27.40;70;2.20
27.40;70;2.21
27.40;70;2.23
27.40;70;2.24
27.40;70;2.26
27.40;70;2.27
27.40;70;2.29
27.40;70;2.31
27.40;70;2.32
27.40;70;2.34
27.40;70;2.35
27.40;70;2.37
27.40;70;2.38
27.40;70;2.40
27.40;70;2.42
27.40;70;2.43
27.40;70;2.45
27.40;70;2.46
27.40;70;2.48
27.40;70;2.49
27.40;70;2.51
27.40;70;2.52
27.40;70;2.54
27.40;70;2.55
27.40;70;2.57
27.40;70;2.59
27.40;70;2.60
27.40;70;2.62
27.40;70;2.63
27.40;70;2.65
27.40;70;2.67
27.40;70;2.68
27.40;70;2.70
27.40;70;2.71
27.40;70;2.73
27.40;70;2.74
27.40;70;2.76
27.40;70;2.77
27.40;70;2.79
27.40;70;2.80
27.40;70;2.82
27.40;70;2.84
27.40;70;2.85
27.40;70;2.87
27.40;70;2.88
27.40;70;2.90
27.40;70;2.92
27.40;70;2.93
27.40;70;2.95
27.40;70;2.96
27.40;70;2.98
27.40;70;2.99
27.40;70;3.01
27.40;70;3.02
27.40;70;3.04
27.40;70;3.05
27.40;70;3.07
27.40;70;3.09
27.40;70;3.10
27.40;70;3.12
27.40;70;3.13
27.40;70;3.15
27.40;70;3.16
27.40;70;3.18
27.40;70;3.20
27.40;70;3.21
27.40;70;3.23
27.40;70;3.24
27.40;70;3.26
27.40;70;3.27
27.40;70;3.29
27.40;70;3.30
27.40;70;3.32
27.40;70;3.33
27.40;70;3.35
27.40;70;3.37
27.40;70;3.38
27.40;70;3.40
27.40;70;3.41
27.40;70;3.43
27.40;70;3.45
27.40;70;3.46
27.40;70;3.48
27.40;70;3.49
27.40;70;3.51
27.40;70;3.52
27.40;70;3.54
27.40;70;3.55
27.40;70;3.57
27.40;70;3.58
27.40;70;3.60
27.40;70;3.62
27.40;70;3.63
27.40;70;3.65
27.40;70;3.66
27.40;70;3.68
27.40;70;3.70
27.40;70;3.71
27.40;70;3.73
27.40;70;3.74
27.40;70;3.76
27.40;70;3.77
27.40;70;3.79
27.40;70;3.80
27.40;70;3.82
27.40;70;3.83
27.40;70;3.85
27.40;70;3.87
27.40;70;3.88
27.40;70;3.90
27.40;70;3.91
27.40;70;3.93
27.40;70;3.94
27.40;70;3.96
27.40;70;3.98
27.40;70;3.99
27.40;70;4.01
27.40;70;4.02
27.40;70;4.04
27.40;70;4.05
27.40;70;4.07
27.40;70;4.08
27.40;70;4.10
27.40;70;4.12
27.40;70;4.13
27.40;70;4.15
27.40;70;4.16
27.40;70;4.18
27.40;70;4.19
27.40;70;4.21
27.40;70;4.22
27.40;70;4.24
27.40;70;4.26
27.40;70;4.27
27.40;70;4.29
27.40;70;4.30
27.40;70;4.32
27.40;70;4.33
27.40;70;4.35
27.40;70;4.37
27.40;70;4.38
27.40;70;4.40
27.40;70;4.41
27.40;70;4.43
27.40;70;4.44
27.40;70;4.46
27.40;70;4.47
27.40;70;4.49
27.40;70;4.51
27.40;70;4.52
27.40;70;4.54
27.40;70;4.55
27.40;70;4.57
27.40;70;4.58
27.40;70;4.60
27.40;70;4.61
27.40;70;4.63
27.40;70;4.65
27.40;70;4.66
27.40;70;4.68
27.40;70;4.69
27.40;70;4.71
27.40;70;4.72
27.40;70;4.74
27.40;70;4.76
27.40;70;4.77
27.40;70;4.79
27.40;70;4.80
27.40;70;4.82
27.40;70;4.83
27.40;70;4.85
27.40;70;4.86
27.40;70;4.88
27.40;70;4.90
27.40;70;4.91
27.40;70;4.93
27.40;70;4.94
27.40;70;4.96
27.40;70;4.97
27.40;70;4.99
27.40;70;5.01
27.40;70;5.02
27.40;70;5.04
27.40;70;5.05
27.40;70;5.07
27.40;70;5.08
27.40;70;5.10
27.40;70;5.11
27.40;70;5.13
27.40;70;5.14
27.40;70;5.16
27.40;70;5.18
27.40;70;5.19
27.40;70;5.21
27.40;70;5.22
27.40;70;5.24
27.40;70;5.25
27.40;70;5.27
27.40;70;5.29
27.40;70;5.30
27.40;70;5.32
27.40;70;5.33
27.40;70;5.35
27.40;70;5.36
27.40;70;5.38
27.40;70;5.39
27.40;70;5.41
27.40;70;5.43
27.40;70;5.44
27.40;70;5.46
27.40;70;5.47
27.40;70;5.49
27.40;70;5.50
27.40;70;5.52
27.40;70;5.54
27.40;70;5.55
27.40;70;5.57
27.40;70;5.58
27.40;70;5.60
27.40;70;5.61
27.40;70;5.63
27.40;70;5.64
27.40;70;5.66
27.40;70;5.67
27.40;70;5.69
27.40;70;5.71
27.40;70;5.72
27.40;70;5.74
27.40;70;5.75
27.40;70;5.77
27.40;70;5.79
27.40;70;5.80
27.40;70;5.82
27.40;70;5.83
27.40;70;5.85
27.40;70;5.86
27.40;70;5.88
27.40;70;5.89
27.40;70;5.91
27.40;70;5.92
27.40;70;5.94
27.40;70;5.96
27.40;70;5.97
27.40;70;5.99
27.40;70;6.00
27.40;70;6.02
27.40;70;6.04
27.40;70;6.05
27.40;70;6.06
27.40;70;6.08
27.40;70;6.10
27.40;70;6.11
27.40;70;6.13
27.40;70;6.14
27.40;70;6.16
27.40;70;6.17
27.40;70;6.19
27.40;70;6.20
27.40;70;6.22
27.40;70;6.24
27.40;70;6.25
27.40;70;6.27
27.40;70;6.28
27.40;70;6.30
27.40;70;6.31
27.40;70;6.33
27.40;70;6.35
27.40;70;6.36
27.40;70;6.38
27.40;70;6.39
27.40;70;6.41
27.40;70;6.42
27.40;70;6.44
27.40;70;6.45
27.40;70;6.47
27.40;70;6.49
27.40;70;6.50
27.40;70;6.52
27.40;70;6.53
27.40;70;6.55
27.40;70;6.56
27.40;70;6.58
27.40;70;6.60
27.40;70;6.61
27.40;70;6.63
27.40;70;6.64
27.40;70;6.66
27.40;70;6.67
27.40;70;6.69
27.40;70;6.70
27.40;70;6.72
27.40;70;6.73
27.40;70;6.75
27.40;70;6.77
27.40;70;6.78
27.40;70;6.80
27.40;70;6.81
27.40;70;6.83
27.40;70;6.85
27.40;70;6.86
27.40;70;6.88
27.40;70;6.89
27.40;70;6.91
27.40;70;6.92
27.40;70;6.94
27.40;70;6.95
27.40;70;6.97
27.40;70;6.98
27.40;70;7.00
27.40;70;7.02
27.40;70;7.03
27.40;70;7.05
27.40;70;7.06
27.40;70;7.08
27.40;70;7.10
27.40;70;7.11
27.40;70;7.13
27.40;70;7.14
27.40;70;7.16
27.40;70;7.17
27.40;70;7.19
27.40;70;7.20
27.40;70;7.22
27.40;70;7.23
27.40;70;7.25
27.40;70;7.27
27.40;70;7.28
27.40;70;7.30
27.40;70;7.31
27.40;70;7.33
27.40;70;7.34
27.40;70;7.36
27.40;70;7.38
27.40;70;7.39
27.40;70;7.41
27.40;70;7.42
27.40;70;7.44
27.40;70;7.45
27.40;70;7.47
27.40;70;7.48
27.40;70;7.50
27.40;70;7.51
27.40;70;7.53
27.40;70;7.55
27.40;70;7.56
27.40;70;7.58
27.40;70;7.59
27.40;70;7.61
27.40;70;7.63
27.40;70;7.64
27.40;70;7.66
27.40;70;7.67
27.40;70;7.69
27.40;70;7.70
27.40;70;7.72
27.40;70;7.73
27.40;70;7.75
27.40;70;7.76
27.40;70;7.78
27.40;70;7.80
27.40;70;7.81
27.40;70;7.83
27.40;70;7.84
27.40;70;7.86
27.40;70;7.87
27.40;70;7.89
27.40;70;7.91
27.40;70;7.92
27.40;70;7.94
27.40;70;7.95
27.40;70;7.97
27.40;70;7.98
27.40;70;8.00
27.40;70;8.01
27.40;70;8.03
27.40;70;8.05
27.40;70;8.06
27.40;70;8.08
27.40;70;8.09
27.40;70;8.11
27.40;70;8.12
27.40;70;8.14
27.40;70;8.15
27.40;70;8.17
27.40;70;8.18
27.40;70;8.20
27.40;70;8.22
27.40;70;8.23
27.40;70;8.25
27.40;70;8.26
27.40;70;8.28
27.40;70;8.30
27.40;70;8.31
27.40;70;8.33
27.40;70;8.34
27.40;70;8.36
27.40;70;8.37
27.40;70;8.39
27.40;70;8.40
27.40;70;8.42
27.40;70;8.43
27.40;70;8.45
27.40;70;8.47
27.40;70;8.48
27.40;70;8.50
27.40;70;8.51
27.40;70;8.53
27.40;70;8.55
27.40;70;8.56
27.40;70;8.58
27.40;70;8.59
27.40;70;8.61
27.40;70;8.62
27.40;70;8.64
27.40;70;8.65
27.40;70;8.67
27.40;70;8.68
27.40;70;8.70
27.40;70;8.72
27.40;70;8.73
27.40;70;8.75
27.40;70;8.76
27.40;70;8.78
27.40;70;8.79
27.40;70;8.81
27.40;70;8.83
27.40;70;8.84
27.40;70;8.86
27.40;70;8.87
27.40;70;8.89
27.40;70;8.90
27.40;70;8.92
27.40;70;8.93
27.40;70;8.95
27.40;70;8.96
27.40;70;8.98
27.40;70;9.00
27.40;70;9.01
27.40;70;9.03
27.40;70;9.04
27.40;70;9.06
27.40;70;9.08
27.40;70;9.09
27.40;70;9.11
27.40;70;9.12
27.40;70;9.14
27.40;70;9.15
27.40;70;9.17
27.40;70;9.18
27.40;70;9.20
27.40;70;9.21
27.40;70;9.23
27.40;70;9.25
27.40;70;9.26
27.40;70;9.28
27.40;70;9.29
27.40;70;9.31
27.40;70;9.32
27.40;70;9.34
27.40;70;9.36
27.40;70;9.37
27.40;70;9.39
27.40;70;9.40
27.40;70;9.42
27.40;70;9.43
27.40;70;9.45
27.40;70;9.46
27.40;70;9.48
27.40;70;9.50
27.40;70;9.51
27.40;70;9.53
27.40;70;9.54
27.40;70;9.56
27.40;70;9.57
27.40;70;9.59
27.40;70;9.61
27.40;70;9.62
27.40;70;9.64
27.40;70;9.65
27.40;70;9.67
27.40;70;9.68
27.40;70;9.70
27.40;70;9.71
27.40;70;9.73
27.40;70;9.75
27.40;70;9.76
27.40;70;9.78
27.40;70;9.79
27.40;70;9.81
27.40;70;9.82
27.40;70;9.84
27.40;70;9.85
27.40;70;9.87
27.40;70;9.89
27.40;70;9.90
27.40;70;9.92
27.40;70;9.93
27.40;70;9.95
27.40;70;9.96
27.40;70;9.98
27.40;70;10.00
27.40;70;10.01
27.40;70;10.03
27.40;70;10.05
27.30;70;10.06
27.30;70;10.08
27.30;70;10.09
27.30;70;10.11
27.30;70;10.13
27.30;70;10.14
27.30;70;10.16
27.30;70;10.18
27.30;70;10.19
27.30;70;10.21
27.30;70;10.23
27.30;70;10.24
27.30;70;10.26
27.30;70;10.28
27.30;70;10.29
27.30;70;10.31
27.30;70;10.33
27.30;70;10.34
27.30;70;10.36
27.30;70;10.38
27.30;70;10.39
27.30;70;10.41
27.30;70;10.43
27.30;70;10.44
27.30;70;10.46
27.30;70;10.48
27.30;70;10.49
27.30;70;10.51
27.30;70;10.53
27.30;70;10.54
27.30;70;10.56
27.30;70;10.58
27.30;70;10.59
27.30;70;10.61
27.30;70;10.63
27.30;70;10.64
27.30;70;10.66
27.30;70;10.68
27.30;70;10.69
27.30;70;10.71
27.30;70;10.73
27.30;70;10.74
27.30;70;10.76
27.30;70;10.78
27.30;70;10.79
27.30;70;10.81
27.30;70;10.83
27.30;70;10.84
27.30;70;10.86
27.30;70;10.88
27.30;70;10.89
27.30;70;10.91
27.30;70;10.92
27.30;70;10.94
27.30;70;10.96
27.30;70;10.98
27.30;70;10.99
27.30;70;11.01
27.30;70;11.03
27.30;70;11.04
27.30;70;11.06
27.30;70;11.08
27.30;70;11.09
27.30;70;11.11
27.30;70;11.13
27.30;70;11.14
27.30;70;11.16
27.30;70;11.17
27.30;70;11.19
27.30;70;11.21
27.30;70;11.23
27.30;70;11.24
27.30;70;11.26
27.30;70;11.28
27.30;70;11.29
27.30;70;11.31
27.30;70;11.33
27.30;70;11.34
27.30;70;11.36
27.30;70;11.38
27.30;70;11.39
27.30;70;11.41
27.30;70;11.42
27.30;70;11.44
27.30;70;11.46
27.30;70;11.48
27.30;70;11.49
27.30;70;11.51
27.30;70;11.52
27.30;70;11.54
27.30;70;11.56
27.30;70;11.58
27.30;70;11.59
27.30;70;11.61
27.30;70;11.63
27.30;70;11.64
27.30;70;11.66
27.30;70;11.67
27.30;70;11.69
27.30;70;11.71
27.30;70;11.72
27.30;70;11.74
27.30;70;11.76
27.30;70;11.77
27.30;70;11.79
27.30;70;11.81
27.30;70;11.82
27.30;70;11.84
27.30;70;11.86
27.30;70;11.88
27.30;70;11.89
27.30;70;11.91
27.30;70;11.92
27.30;70;11.94
27.30;70;11.96
27.30;70;11.97
27.30;70;11.99
27.30;70;12.01
27.30;70;12.02
27.30;70;12.04
27.30;70;12.06
27.30;70;12.07
27.30;70;12.09
27.30;70;12.11
27.30;70;12.12
27.30;70;12.14
27.30;70;12.16
27.30;70;12.17
27.30;70;12.19
27.30;70;12.21
27.30;70;12.22
27.30;70;12.24
27.30;70;12.26
27.30;70;12.27
27.30;70;12.29
27.30;70;12.31
27.30;70;12.32
27.30;70;12.34
27.30;70;12.36
27.30;70;12.37
27.30;70;12.39
27.30;70;12.41
27.30;70;12.42
27.30;70;12.44
27.30;70;12.45
27.30;70;12.47
27.30;70;12.49
27.30;70;12.51
27.30;70;12.52
27.30;70;12.54
27.30;70;12.56
27.30;70;12.57
27.30;70;12.59
27.30;70;12.61
27.30;70;12.62
27.30;70;12.64
27.30;70;12.65
27.30;70;12.67
27.30;70;12.69
27.30;70;12.70
27.30;70;12.72
27.30;70;12.74
27.30;70;12.76
27.30;70;12.77
27.30;70;12.79
27.30;70;12.80
27.30;70;12.82
27.30;70;12.84
27.30;70;12.86
27.30;70;12.87
27.30;70;12.89
27.30;70;12.90
27.30;70;12.92
27.30;70;12.94
27.30;70;12.95
27.30;70;12.97
27.30;70;12.99
27.30;70;13.01
27.30;70;13.02
27.30;70;13.04
27.30;70;13.05
27.30;70;13.07
27.30;70;13.09
27.30;70;13.10
27.30;70;13.12
27.30;70;13.14
27.30;70;13.15
27.30;70;13.17
27.30;70;13.19
27.30;70;13.20
27.30;70;13.22
27.30;70;13.24
27.30;70;13.25
27.30;70;13.27
27.30;70;13.29
27.30;70;13.30
27.30;70;13.32
27.30;70;13.34
27.30;70;13.35
27.30;70;13.37
27.30;70;13.39
27.30;70;13.40
27.30;70;13.42
27.30;70;13.44
27.30;70;13.45
27.30;70;13.47
27.30;70;13.49
27.30;70;13.50
27.30;70;13.52
27.30;70;13.54
27.30;70;13.55
27.30;70;13.57
27.30;70;13.59
27.30;70;13.60
27.30;70;13.62
27.30;70;13.64
27.30;70;13.65
27.30;70;13.67
27.30;70;13.69
27.30;70;13.70
27.30;70;13.72
27.30;70;13.74
27.30;70;13.75
27.30;70;13.77
27.30;70;13.79
27.30;70;13.80
27.30;70;13.82
27.30;70;13.84
27.30;70;13.85
27.30;70;13.87
27.30;70;13.89
27.30;70;13.90
27.30;70;13.92
27.30;70;13.94
27.30;70;13.95
27.30;70;13.97
27.30;70;13.99
27.30;70;14.00
27.30;70;14.02
27.30;70;14.04
27.30;70;14.05
27.30;70;14.07
27.30;70;14.09
27.30;70;14.10
27.30;70;14.12
27.30;70;14.14
27.30;70;14.15
27.30;70;14.17
27.30;70;14.19
27.30;70;14.20
27.30;70;14.22
27.30;70;14.23
27.30;70;14.25
27.30;70;14.27
27.30;70;14.29
27.30;70;14.30
27.30;70;14.32
27.30;70;14.33
27.30;70;14.35
27.30;70;14.37
27.30;70;14.39
27.30;70;14.40
27.30;70;14.42
27.30;70;14.43
27.30;70;14.45
27.30;70;14.47
27.30;70;14.48
27.30;70;14.50
27.30;70;14.52
